Number,Name,Color,RGB
3840,Lavender Blue - Light,,"178, 189, 234"
3841,Baby Blue - Pale,,"217, 234, 242"
3842,Wedgewood - Dark,,"6, 80, 106"
3843,Electric Blue,,"40, 163, 222"
3844,Bright Turquoise - Dark,,"31, 127, 160"
3845,Bright Turquoise - Medium,,"43, 173, 209"
3846,Bright Turquoise - Light,,"94, 204, 236"
3847,Teal Green - Dark,,"24, 99, 88"
3848,Teal Green - Medium,,"32, 126, 114"
3849,Teal Green - Light,,"53, 177, 147"
3850,Bright Green - Dark,,"32, 139, 70"
3851,Bright Green - Light,,"97, 187, 132"
3852,Straw - Very Dark,,"227, 167, 48"
3853,Autumn Gold - Dark,,"239, 129, 37"
3854,Autumn Gold - Medium,,"251, 172, 86"
3855,Autumn Gold - Light,,"253, 223, 160"
3856,Mahogany - Ultra Very Light,,"253, 190, 142"
3857,Rosewood - Dark,,"106, 47, 38"
3858,Rosewood - Medium,,"128, 58, 50"
3859,Rosewood - Light,,"186, 122, 108"
3860,Cocoa,,"137, 99, 98"
3861,Cocoa - Light,,"172, 133, 131"
3862,Mocha Beige - Dark,,"110, 73, 42"
3863,Mocha Beige - Medium,,"148, 114, 93"
3864,Mocha Beige - Light,,"201, 170, 146"
3865,Winter White,,"255, 253, 249"
3866,Mocha Brown - Ultra Very Light,,"240, 230, 215"
3880,Shell Pink - Light,,"187, 104, 100"
3881,Green - Light,,"186, 228, 182"
3882,Beige Brown - Dark,,"90, 60, 45"
3883,Orange Spice - Light,,"249, 135, 86"
3884,Ash Gray - Very Light,,"75, 75, 73"
3885,Baby Blue - Very Dark,,"31, 50, 121"
3886,Mauve - Very Dark,,"121, 38, 59"
3887,Lavender - Very Dark,,"148, 66, 167"
3888,Antique Violet - Dark,,"113, 83, 93"
3889,Lemon - Light,,"252, 249, 153"
3890,Peacock Blue - Light,,"75, 138, 161"
3891,Electric Blue - Dark,,"0, 97, 176"
3892,Tangerine,,"253, 111, 26"
3893,Beige Brown - Ultra Very Light,,"234, 208, 181"
3894,Parrot Green - Light,,"157, 199, 45"
3895,Beaver Gray - Dark,,"107, 104, 96"
E150,Metallic - Deep Water Blue,,"208, 1, 83"
E152,Metallic - Pink Shimmer,,"225, 161, 161"
E154,Metallic - Opalescent Rays,,"75, 35, 58"
E155,Metallic - Amethyst,,"151, 116, 182"
E168,Metallic - Silver,,"177, 174, 183"
E211,Metallic - Lilac,,"229, 189, 237"
E301,Metallic - Copper,,"170, 82, 55"
E310,Metallic - Ebony,,"0, 0, 0"
E316,Metallic - Pink Amethyst,,"188, 117, 127"
E317,Metallic - Titanium,,"109, 100, 105"
E321,Metallic - Red Ruby,,"189, 17, 54"
E334,Metallic - Blue Topaz,,"96, 133, 184"
E415,Metallic - Pewter,,"184, 185, 189"
E436,Metallic - Golden Oak,,"199, 133, 89"
E677,Metallic - White Gold,,"242, 220, 159"
E699,Metallic - Green Emerald,,"7, 91, 38"
E703,Metallic - Light Green Emerald,,"99, 179, 48"
E718,Metallic - Pink Garnet,,"203, 32, 137"
E746,Metallic - Cream,,"250, 242, 213"
E747,Metallic - Baby Blue,,"206, 233, 234"
E815,Metallic - Dark Red Ruby,,"128, 11, 52"
E818,Metallic - Soft Pink,,"254, 222, 221"
E825,Metallic - Blue Sapphire,,"52, 88, 143"
E898,Metallic - Dark Oak,,"83, 47, 27"
E966,Metallic - Lime,,"148, 210, 138"
E967,Metallic - Soft Peach,,"255, 194, 172"
E3685,Metallic - Rosewood,,"121, 38, 59"
E3747,Metallic - Sky Blue,,"180, 198, 231"
E3821,Metallic - Light Gold,,"234, 189, 0"
E3837,Metallic - Purple Ruby,,"112, 48, 160"
E3843,Metallic - Light Blue Sapphire,,"0, 176, 240"
E3849,Metallic - Aquamarine Blue,,"0, 255, 153"
E3852,Metallic - Dark Gold,,"204, 165, 0"
E980,Neon - Neon Yellow,,"240, 255, 0"
E990,Neon - Neon Green,,"6, 236, 33"
E985,Fluorescents - Lemon Zest,,"255, 255, 0"
E987,Fluorescents - Key Lime Splash,,"0, 241, 176"
E995,Fluorescents - Melon Blast,,"255, 54, 103"
E1010,Fluorescents - Tropical Pink,,"255, 54, 151"
E1020,Fluorescents - Bright Orange,,"255, 94, 0"
E1024,Fluorescents - Tangerine Zing,,"255, 143, 95"
E1026,Fluorescents - Blueberry Blast,,"94, 89, 185"
E1040,Fluorescents - Bright Blue,,"50, 207, 255"
E1050,Fluorescents - Luminous Lavender,,"146, 86, 162"
E1055,Fluorescents - Raspberry Rush,,"188, 35, 162"
5282,Metallic Pearl - Gold,,"242, 174, 63"
5283,Metallic Pearl - Silver,,"197, 196, 201"
CBlanc,Étoile -  White,,"255, 255, 255"
CEcru,Étoile - Ecru/off-white,,"255, 247, 231"
C310,Étoile - Black,,"0, 0, 0"
C318,Étoile - Steel Gray - Light,,"153, 155, 157"
C321,Étoile - Red,,"189, 17, 54"
C415,Étoile - Pearl Grey,,"184, 185, 189"
C433,Étoile - Brown - Medium,,"115, 66, 30"
C436,Étoile - Tan,,"199, 133, 89"
C444,Étoile - Lemon - Dark,,"245, 188, 19"
C471,Étoile - Avocado Green - Very Light,,"158, 179, 87"
C519,Étoile - Sky Blue,,"148, 183, 203"
C550,Étoile - Violet - Very Dark,,"88, 14, 92"
C554,Étoile - Violet - Light,,"220, 156, 222"
C600,Étoile - Cranberry - Very Dark,,"191, 28, 72"
C603,Étoile - Cranberry,,"228, 68, 110"
C666,Étoile - Red - Bright,,"206, 27, 51"
C699,Étoile - Green,,"7, 91, 38"
C725,Étoile - Topaz,,"249, 193, 91"
C738,Étoile - Tan - Very Light,,"226, 183, 131"
C740,Étoile - Tangerine,,"253, 111, 26"
C798,Étoile - Delft Blue - Dark,,"78, 92, 167"
C814,Étoile - Garnet - Dark,,"113, 16, 51"
C816,Étoile - Garnet,,"146, 18, 56"
C820,Étoile - Royal Blue - Very Dark,,"21, 18, 100"
C823,Étoile - Blue - Dark,,"0, 11, 68"
C840,Étoile - Beige Brown - Medium,,"122, 89, 57"
C890,Étoile - Pistachio Green - Ultra Dark,,"50, 66, 51"
C900,Étoile - Burnt Orange - Dark,,"198, 49, 23"
C907,Étoile - Parrot Green - Light,,"157, 199, 45"
C915,Étoile - Plum - Dark,,"149, 8, 90"
C938,Étoile - Coffee Brown - Ultra Dark,,"69, 39, 26"
C972,Étoile - Canary - Deep,,"251, 159, 17"
C995,Étoile - Electric Blue - Dark,,"0, 97, 176"
